Number,txt,S1,S2,S3,TITLE,CONTENT
1,豫,1,4,8,口舌,口舌是非多異端，正是逢凶運不開，盡量不與人計較，方保事後寬心放，是非口舌事端多，世位逢財事不安，凡事勸君饒一著，事後放寬心保全
2,中孚,2,5,2,口舌,是非口舌不須爭，不計福德保太平，任有好話盡無用，自有貴人來調解，爭必是非口舌苦，福德神強保太平，自有貴人來喝散，任有好話總無憑
3,大有,3,3,1,口舌,卦卜口舌最難擋，官訟虛驚有一場，辯詞有理我勝訴，但須謹記免刑傷，口舌是非最難當，官訟虛驚有一場，世克應爻須我勝，還須謹記免刑傷
4,師,4,8,6,口舌,口舌是非也需防，小人虛須有一場，凡事休強須退步，且饒饒人最為良，是非口舌也須防，破好終須有一場，凡事休強須退步，饒人一著最為良
5,咸,5,2,7,口舌,口舌難免不為凶，有驚官鬼在其中，有水無風總是空，自然消散得合和，是非雖有不為凶，有水無風總是空，只管安心休畏懼，自然消散得和同
6,無妄,6,1,4,口舌,是非口舌不須怕，樹正何愁月影斜，貴人喝散不用懼，守已安然莫管他，樹正何愁月影斜，是非口舌不須嗟，貴人喝散何須懼，守己安然莫管他
7,井,7,6,5,口舌,口舌是非不足奇，貴人必有喜相臨，虎頭蛇尾須當忌，可此空中一陣雲，口舌閑非不足論，貴人必有喜相臨，虎頭蛇尾須當忌，可比空中一陣雲
8,賁,8,7,3,口舌,是非口舌亦須防，若不防時定有傷，內外官鬼多起意，三思行事保安康，須防是非由口舌，禁口不防有傷時，有人起意內外多，行事三思而後行
9,萃,1,2,8,子病,兒得病不用操心，看午未日即可癒，查內外陰神公礙，謝神闔家平安吉，嬰兒得喜數無妨，福德臨爻不必憂，服藥且看過未午，闔家歡喜把神酬
10,履,2,1,2,子病,子病逢喜何須憂，不必憂心貴人醫，內外陰公災星至，待換節氣病移除，子孫喜至何須慮，不必憂疑且問醫，虎頭蛇尾災星退，待交節氣病才移
11,需,3,6,1,子病,小兒有病何日祥，內外陰公兩得礙，要逢申酉方除厄，華陀在世得吉昌，天花兒郎何日強，子孫持世卻無妨，要逢申酉方除厄，一服仙方便吉昌
12,蒙,4,7,6,子病,君來占卜問病症，內陰公礙定不差，縱有風波無浪起，吉星拱照萬事昌，君來占卜問天花，福德隨身定不差，縱有風波無浪起，吉星拱照喜哈哈
13,小過,5,4,7,子病,君占子病有吉凶，內陰災星臨門戶，非神保佑難治療，行善發願祈仙翁，君占子喜可吉凶，乃是災星臨命宮，非神保佑難為力，猶宜急禱祈神仙
14,益,6,5,4,子病,兒病內陰不須驚，貴神相助貴氣明，良藥能驅陰病症，三頭四日即安寧，孩兒有喜不須驚，應下援身喜氣臨，良藥能驅夙小症，三頭四目即安寧
15,鼎,7,3,5,子病,占卜兒病有因由，誠心祈福不必憂，家中內陰還報恩，身康體健不須愁，誠心占卜問因由，孩兒喜事不必憂，官勞鬼爻須禱告，身康體健不須愁
16,明夷,8,8,3,子病,卜子病臨未為昌，內外陰礙是全因，子災厄至有因由，發願積德保安康，見喜凶荒苦見商，子孫臨應未為昌，應皆小子災危至，只有求神保安康
17,巽風,3,5,5,工作,上司得貴喜盈盈，工作進宮可順心，跟對上司從此榮，那時得濟家庭富，世高應下喜盈盈，欲進衙門喜稱心，勞速生育從此長，那時得濟造家庭
18,艮山,1,7,7,工作,占卜工作進公門，上司君臨百事亨，秋夏冬時多利益，春間少順莫生嗔，君今意若進衙門，百事亨福德星君，利益在秋夏冬時，莫生嗔春間少收
19,震雷,2,4,4,工作,卜上司想換工作，財鬼逢沖事不安，莫問他人運勢好，只宜守舊可寬心，八純之卦問跟官，兩不安沖財逢鬼，莫問營利它號好，守舊方可只宜寬
